Id_estacio;Nom_Est;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;Longitud;Latitud;vereda;SUBREGION
11110020;ABRIAQUI [11110020];64;78;58;25;18;55;73;53;69;36;86;76;7;95;91;24;4;7;35;8;33;48;41;68;10;88;47;71;6;38;87;68;97;15;82;30;0;100;92;3;73;62;68;92;43;100;80;86;33;2;2;25;89;(5-5);18;Antioquia;Abriaquí;Caribe;DariénRíoSucio;4660087;2293040;LAS JUNTAS;OCCIDENTE
11110030;FUEMIA [11110030];4;66;63;76;72;21;67;89;12;72;28;92;3;26;25;68;9;52;55;49;69;64;51;70;74;8;6;5;1;91;41;34;37;4;46;57;73;76;67;81;7;12;94;99;37;66;6;48;14;52;65;46;83;(6-4);3;Antioquia;Frontino;Caribe;DariénRíoSucio;4640636;2317022;FUEMIA;OCCIDENTE
11110040;CANASGORDAS [11110040];21;75;26;93;35;90;88;66;6;36;29;42;60;65;55;62;45;15;78;70;1;12;15;9;24;2;45;44;41;27;48;84;49;82;95;71;20;27;6;50;100;70;29;53;87;13;84;70;53;0;60;9;6;(6-5);8;Antioquia;Cañasgordas;Caribe;DariénRíoSucio;4664771;2304907;MEDIA CUESTA;OCCIDENTE
11110110;BOQUERON DE TOYO [11110110];97;27;0;71;70;40;52;46;73;93;69;83;49;100;33;83;50;2;19;32;28;53;35;48;91;31;80;66;63;86;83;8;65;40;10;37;51;46;33;37;78;65;61;87;67;68;19;100;19;93;26;22;47;(5-5);18;Antioquia;Giraldo;Caribe;DariénRíoSucio;4670913;2299275;CIRIGUAN;OCCIDENTE
11115020;CañaSGORDAS - AUT [11115020];59;63;54;19;27;5;72;87;37;67;46;87;13;53;97;36;55;15;86;25;95;71;47;25;66;96;96;76;25;35;20;41;27;98;75;51;82;41;98;0;4;81;37;22;23;7;39;55;40;64;47;31;89;(6-5);8;Antioquia;Cañasgordas;Caribe;AtratoDariénRíoSucio;4665182;2305793;;OCCIDENTE
11115030;NUTIBARA [11115030];0;10;10;71;4;27;50;21;17;29;47;36;76;20;62;91;80;85;60;30;3;100;9;89;16;58;22;42;23;59;90;63;4;59;10;14;17;18;13;27;47;35;61;31;45;85;64;91;47;100;71;94;14;(6-4);3;Antioquia;Frontino;Caribe;DariénRíoSucio;4640851;2312440;LA CAMPEONA;OCCIDENTE
11115040;MUSINGA [11115040];67;31;60;25;41;34;74;50;80;81;52;17;92;98;10;93;7;20;23;79;93;62;61;31;97;26;80;63;96;45;79;25;35;95;64;18;43;53;38;7;21;75;78;58;7;16;74;6;99;34;32;17;68;(6-4);3;Antioquia;Frontino;Caribe;DariénRíoSucio;4645985;2308123;MUCINGA;OCCIDENTE
11120010;SALAQUI [11120010];54;81;41;76;89;98;98;85;4;1;0;44;84;33;13;56;58;23;78;31;64;87;54;81;86;90;38;16;58;13;26;83;33;76;42;85;85;89;92;71;98;38;2;5;24;38;56;22;64;18;70;81;10;(7-2);4;Chocó;Riosucio;Caribe;DariénRíoSalaquíyotrosdirectosBajoAtrato;4527112;2381664;SIN DEFINIR;
11120040;RIOSUCIO [11120040];65;11;66;44;8;11;4;20;67;51;51;45;34;59;92;45;77;91;17;94;0;2;33;31;24;37;16;94;79;80;65;75;97;2;5;35;89;36;43;5;76;14;59;45;55;79;45;85;13;69;18;76;80;(7-2);4;Chocó;Riosucio;Caribe;DariénRíoSucio;4545703;2382164;SIN DEFINIR;
11125010;TERESITA LA [11125010];36;15;28;24;73;60;56;68;52;72;5;58;28;79;30;7;13;55;93;35;48;31;54;70;84;3;83;35;63;15;10;98;47;3;69;9;52;63;36;63;68;45;96;63;2;83;86;49;90;32;99;16;38;(6-2);2;Chocó;Riosucio;Caribe;DariénRíoSalaquíyotrosdirectosBajoAtrato;4502670;2333873;SIN DEFINIR;
11130020;HONDA LA [11130020];73;63;79;59;9;39;18;62;91;38;98;21;15;31;43;12;39;45;21;99;50;94;97;0;23;18;33;0;14;50;73;33;56;53;74;76;83;59;70;13;15;97;83;53;12;36;35;15;56;71;64;52;71;(7-2);4;Chocó;Riosucio;Caribe;DariénRíoSalaquíyotrosdirectosBajoAtrato;4544710;2397377;SIN DEFINIR;
11130030;SAUTATA [11130030];89;100;9;21;95;5;42;26;39;33;19;76;52;85;32;61;1;84;88;76;29;41;38;50;41;54;97;37;64;57;87;90;81;7;75;27;30;22;34;29;17;46;39;89;32;60;90;54;6;63;2;69;2;(8-2);3;Chocó;Riosucio;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4540480;2429549;PUEBLO REGADO;
11135010;SAUTATA [11135010];52;34;60;50;43;56;10;90;66;98;69;66;14;84;13;40;83;22;61;48;92;30;0;74;68;17;39;17;98;10;34;94;30;25;10;80;6;50;50;51;98;50;93;68;74;9;6;93;22;12;39;32;53;(8-2);3;Chocó;Riosucio;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4545985;2427648;SIN DEFINIR;
11135020;BALSA LA [11135020];92;74;96;57;79;5;73;10;97;97;4;16;60;100;56;29;68;82;64;78;66;99;35;8;19;24;1;67;33;48;14;43;83;48;88;68;61;1;6;82;0;13;56;3;23;25;27;70;48;41;34;43;11;(7-2);4;Chocó;Riosucio;Caribe;DariénRíoSalaquíyotrosdirectosBajoAtrato;4536416;2390808;SIN DEFINIR;
11135030;UNGUIA - AUT [11135030];97;95;1;78;43;13;27;20;36;37;67;52;49;49;77;3;80;99;39;31;32;38;1;72;57;52;51;32;11;69;79;91;65;14;18;82;51;90;60;31;21;92;4;61;71;44;94;54;87;61;27;6;89;(8-2);3;Chocó;Unguía;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4549372;2448302;UNGUIA;
11140010;MARIRRIO [11140010];33;58;31;44;53;50;91;57;45;68;90;20;84;50;15;43;46;65;52;48;59;73;70;93;79;87;2;96;24;82;45;85;28;41;5;59;25;68;69;35;75;58;61;26;64;7;83;88;99;63;5;59;3;(8-3);18;Antioquia;Turbo;Caribe;DariénDirectosBajoAtratoentreRíoSucioydesembocadura;4564553;2444085;LEONCITO;URABA
11145010;BAJIRA [11145010];75;17;94;7;49;28;55;20;88;3;43;10;46;69;28;99;63;77;84;60;25;63;5;8;93;26;49;34;31;45;66;63;49;58;45;86;89;8;61;30;14;20;25;1;43;28;96;8;79;25;55;99;15;(7-3);4;Chocó;Riosucio;Caribe;DariénRíoSucio;4595245;2375514;LOS CEDROS;URABA
11150010;TITUMATE [11150010];10;95;28;24;11;7;6;61;27;93;48;44;14;90;98;87;100;13;19;8;18;29;72;53;26;50;70;86;66;82;47;99;89;21;11;5;42;6;38;52;19;46;62;55;38;89;58;21;45;80;97;76;87;(9-3);7;Chocó;Unguía;Caribe;DariénRíoToloyotrosDirectosalCaribe;4551004;2478347;TITUMATE;
11150020;TANELA [11150020];28;44;17;65;65;59;88;26;27;4;97;37;3;27;47;22;90;21;61;90;31;7;46;77;90;86;32;80;2;25;3;50;23;19;43;26;83;22;65;68;69;82;35;40;43;61;83;81;66;75;60;11;87;(9-3);7;Chocó;Unguía;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4554749;2462229;SANTA MARIA;
11150030;ACANDI [11150030];91;69;92;86;72;8;1;11;63;81;60;41;51;72;24;94;44;84;10;53;94;99;87;39;21;33;14;4;83;23;66;44;59;73;79;69;73;74;13;97;86;74;87;3;84;97;73;16;15;12;10;4;77;(10-2);2;Chocó;Acandí;Caribe;DariénRíoToloyotrosDirectosalCaribe;4529081;2503266;;
11155010;PLAYA LA [11155010];5;12;1;2;44;82;49;64;42;62;75;7;65;74;87;30;6;24;14;28;44;24;41;17;87;73;56;67;63;87;6;95;81;77;12;46;98;67;5;94;6;9;24;6;34;46;14;50;37;37;77;43;10;(10-2);2;Chocó;Acandí;Caribe;DariénRíoToloyotrosDirectosalCaribe;4528380;2503551;SIN DEFINIR;
11155020;GLORIA LA [11155020];43;63;50;80;65;66;88;21;83;98;91;43;22;22;66;5;62;45;55;68;64;91;78;71;23;55;4;17;85;51;80;59;0;43;70;13;60;13;1;42;10;48;41;17;97;40;81;70;50;100;96;7;3;(9-3);7;Chocó;Unguía;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4551969;2473751;TITUMATE;
12010010;TORMENTO EL [12010010];32;26;56;21;31;1;51;9;33;26;41;42;38;58;59;45;0;67;82;84;89;15;8;21;85;18;40;61;24;34;46;64;64;78;48;61;61;48;56;31;0;64;81;84;63;3;15;11;98;95;30;44;92;(8-3);18;Antioquia;Turbo;Caribe;LitoralRíoLeón;4574772;2418113;LOS MANGOS MEDIOS;URABA
12010030;BARRANQUILLITA [12010030];35;100;19;69;37;50;59;19;89;62;91;62;78;15;80;100;1;19;29;48;24;31;44;71;42;57;51;62;89;82;98;65;28;4;69;82;64;89;95;98;25;82;19;35;2;68;98;48;34;44;93;28;88;(7-3);4;Antioquia;Chigorodó;Caribe;LitoralRíoLeón;4591735;2396214;EL VENADO;URABA
12010040;TULENAPA [12010040];76;40;83;23;100;99;95;85;66;43;7;12;53;96;29;62;38;82;32;75;65;46;25;50;93;4;1;11;96;17;15;13;14;56;93;16;15;30;96;38;1;35;55;25;51;57;60;73;96;95;66;78;15;(8-3);18;Antioquia;Chigorodó;Caribe;LitoralRíoLeón;4595509;2406887;LA RIVERA;URABA
12010050;TOSCANA LA [12010050];97;3;3;4;26;97;20;16;29;93;97;76;42;45;83;36;84;59;79;26;69;9;28;79;55;21;25;18;16;96;39;25;19;6;47;66;15;48;31;89;65;56;89;77;5;99;89;89;45;30;28;13;76;(8-3);18;Antioquia;Carepa;Caribe;LitoralRíoLeón;4591625;2422577;ZARABANA;URABA
12010060;LORENA LA [12010060];15;57;24;40;19;60;57;80;79;34;74;87;98;87;91;2;19;8;42;90;60;58;13;56;29;86;76;73;85;10;46;80;29;70;49;87;94;70;23;67;9;22;93;26;21;35;51;31;66;26;49;59;81;(8-3);18;Antioquia;Apartadó;Caribe;LitoralRíoLeón;4593213;2428654;VEREDA CHURIDO;URABA
12010070;CASCO EL [12010070];71;73;60;74;98;55;79;13;20;100;13;6;46;22;55;40;7;78;63;67;94;62;80;96;87;26;56;93;33;45;24;54;6;87;100;17;87;26;17;2;72;11;27;57;33;87;67;82;60;66;15;25;83;(8-3);18;Antioquia;Apartadó;Caribe;LitoralRíoLeón;4597803;2430982;VEREDA EL SALVADOR;URABA
12010080;SANTA ISABEL [12010080];34;59;25;82;33;4;17;53;13;36;57;45;58;54;67;58;71;13;56;100;86;94;16;39;53;0;91;13;98;7;4;94;37;26;66;6;49;91;40;71;47;78;90;86;96;79;5;48;87;29;23;19;31;(8-3);18;Antioquia;Carepa;Caribe;LitoralRíoLeón;4595588;2416114;LA CADENA;URABA
12010090;TRIGANA [12010090];21;25;44;20;74;55;52;49;35;4;94;81;74;90;7;24;0;6;34;34;64;14;47;73;20;11;27;99;64;40;70;44;24;3;52;84;10;54;94;7;97;43;82;52;24;4;84;88;66;63;59;83;83;(8-3);18;Antioquia;Carepa;Caribe;LitoralRíoLeón;4590591;2415899;EL ENCANTO;URABA
12010100;EUPOL [12010100];61;92;56;98;38;4;14;85;98;7;6;38;28;69;24;38;78;28;85;50;65;77;44;67;31;66;79;62;85;71;65;75;88;30;70;33;100;20;48;11;42;17;51;73;27;67;73;50;15;80;100;81;78;(8-4);15;Antioquia;Turbo;Caribe;LitoralRíoLeón;4601217;2437716;AGUAS FRIAS;URABA
12010110;PRADO MAR [12010110];14;72;18;8;89;67;89;36;32;31;76;12;91;45;61;0;41;68;0;92;18;42;69;76;52;31;83;98;92;7;14;38;38;8;24;49;55;32;64;91;78;81;87;50;19;17;89;4;85;61;21;44;84;(8-3);18;Antioquia;Turbo;Caribe;LitoralRíoMulatosyotrosdirectosalCaribe;4598924;2442374;COMUNAL LA SUERTE;URABA
12010120;SANTA MARTHA [12010120];65;19;70;40;69;35;52;72;82;69;65;77;31;96;100;4;93;49;24;90;65;19;32;1;14;24;33;46;42;32;42;62;95;45;1;65;91;95;13;15;79;22;21;21;44;37;25;54;47;73;27;93;84;(8-3);18;Antioquia;Turbo;Caribe;LitoralRíoLeón;4597697;2435344;PALOS BLANCOS;URABA
12010130;CHIGORODO [12010130];59;59;56;90;4;73;88;81;30;10;12;69;84;62;39;45;72;96;36;25;20;67;9;50;79;23;100;29;8;62;78;25;59;9;2;92;29;11;25;35;18;88;14;57;60;38;89;82;98;65;92;14;3;(8-3);18;Antioquia;Chigorodó;Caribe;LitoralRíoLeón;4591858;2410609;CHIRIDO;URABA
12010140;RIOGRANDE [12010140];80;21;91;40;98;23;3;45;43;29;52;36;46;89;54;70;33;44;61;13;83;36;67;90;100;86;82;92;16;13;25;94;93;63;38;49;22;51;66;71;74;50;93;5;1;75;4;18;38;4;54;21;8;(8-3);18;Antioquia;Turbo;Caribe;LitoralRíoLeón;4599445;2436381;COMUNAL LA SUERTE;URABA
12010150;VILLA ARTEAGA [12010150];19;40;26;57;10;90;69;85;50;51;7;84;90;90;50;64;97;71;80;6;22;90;88;6;20;36;29;56;97;76;53;62;59;55;79;70;87;26;69;9;38;86;56;95;42;41;35;85;3;92;85;72;0;(7-4);3;Antioquia;Mutatá;Caribe;LitoralRíoLeón;4600832;2382850;MONTERIA LEON;URABA
12010160;SAN JOSE APARTADO [12010160];98;80;93;74;88;68;20;98;0;100;97;19;10;97;17;84;11;27;14;58;98;40;37;60;57;43;79;70;63;0;61;97;91;3;20;73;42;90;32;59;5;43;33;66;76;73;83;85;75;54;95;34;24;(8-4);15;Antioquia;Apartadó;Caribe;LitoralRíoLeón;4603061;2428968;VEREDA SALSIPUEDES;URABA
12010170;NUEVO ORIENTE [12010170];90;28;88;10;37;3;83;87;52;43;21;49;88;25;18;34;74;30;41;74;24;90;83;59;92;68;33;0;13;6;10;23;53;13;22;35;63;71;47;66;81;96;96;90;66;58;43;25;37;18;76;59;41;(7-3);4;Antioquia;Turbo;Caribe;DariénDirectosBajoAtratoentreRíoSucioydesembocadura;4592786;2384061;NUEVA ESPERANZA;URABA
12010180;CHOROMANDO HACIENDA [12010180];37;16;50;60;39;82;25;68;95;29;42;38;37;81;54;88;51;79;19;72;5;94;37;21;18;16;14;36;77;30;31;54;77;85;74;17;57;6;97;3;16;12;36;11;57;79;43;76;92;59;11;54;24;(8-4);15;Antioquia;Turbo;Caribe;LitoralRíoLeón;4604980;2438178;AGUAS FRIAS;URABA
